CELL_MAPCODE,quad
45068-G2,137
45068-G3,136
45068-G4,136
45068-G5,135
45068-G6,135
45068-G7,134
45068-G8,134
45068-H1,137
45068-H2,137
45068-H3,136
45068-H4,136
45068-H5,135
45068-H6,135
45068-H7,134
45068-H8,134
45069-A1,89
45069-A2,89
45069-A3,88
45069-A4,88
45069-A5,87
45069-A6,87
45069-A7,86
45069-A8,86
45069-B1,89
45069-B2,89
45069-B3,88
45069-B4,88
45069-B5,87
45069-B6,87
45069-B7,86
45069-B8,86
45069-C1,106
45069-C2,106
45069-C3,105
45069-C4,105
45069-C5,104
45069-C6,104
45069-C7,103
45069-C8,103
45069-D1,106
45069-D2,106
45069-D3,105
45069-D4,105
45069-D5,104
45069-D6,104
45069-D7,103
45069-D8,103
45069-E1,120
45069-E2,120
45069-E3,119
45069-E4,119
45069-E5,118
45069-E6,118
45069-E7,117
45069-E8,117
45069-F1,120
45069-F2,120
45069-F3,119
45069-F4,119
45069-F5,118
45069-F6,118
45069-F7,117
45069-F8,117
45069-G1,133
45069-G2,133
45069-G3,132
45069-G4,132
45069-G5,131
45069-G6,131
45069-G7,130
45069-G8,130
45069-H1,133
45069-H2,133
45069-H3,132
45069-H4,132
45069-H5,131
45069-H6,131
45069-H7,130
45069-H8,130
45070-A1,85
45070-A2,85
45070-A3,84
45070-A4,84
45070-A5,83
45070-A6,83
45070-A7,82
45070-A8,82
45070-B1,85
45070-B2,85
45070-B3,84
45070-B4,84
45070-B5,83
45070-B6,83
45070-B7,82
45070-B8,82
45070-C1,102
45070-C2,102
45070-C3,101
45070-C4,101
45070-C5,100
45070-C6,100
45070-C7,99
45070-C8,99
45070-D1,102
45070-D2,102
45070-D3,101
45070-D4,101
45070-D5,100
45070-D6,100
45070-D7,99
45070-E1,116
45070-E2,116
45070-E3,115
45070-E4,115
45070-E5,114
45070-E6,114
45070-F1,116
45070-F2,116
45070-F3,115
45070-F4,115
45070-F5,114
45070-G1,129
45070-G2,129
45070-G3,128
45070-G4,128
45070-H1,129
45070-H2,129
45070-H3,128
45071-A1,81
45071-B1,81
45071-C1,98
46067-A7,149
46067-A8,149
46067-B7,149
46067-B8,149
46067-C7,159
46067-C8,159
46067-D7,159
46067-D8,159
46067-E7,168
46067-E8,168
46067-F7,168
46067-F8,168
46067-G7,177
46067-G8,177
46067-H7,177
46067-H8,177
46068-A1,148
46068-A2,148
46068-A3,147
46068-A4,147
46068-A5,146
46068-A6,146
46068-A7,145
46068-A8,145
46068-B1,148
46068-B2,148
46068-B3,147
46068-B4,147
46068-B5,146
46068-B6,146
46068-B7,145
46068-B8,145
46068-C1,158
46068-C2,158
46068-C3,157
46068-C4,157
46068-C5,156
46068-C6,156
46068-C7,155
46068-C8,155
46068-D1,158
46068-D2,158
46068-D3,157
46068-D4,157
46068-D5,156
46068-D6,156
46068-D7,155
46068-D8,155
46068-E1,167
46068-E2,167
46068-E3,166
46068-E4,166
46068-E5,165
46068-E6,165
46068-E7,164
46068-E8,164
46068-F1,167
46068-F2,167
46068-F3,166
46068-F4,166
46068-F5,165
46068-F6,165
46068-F7,164
46068-F8,164
46068-G1,176
46068-G2,176
46068-G3,175
46068-G4,175
46068-G5,174
46068-G6,174
46068-G7,173
46068-G8,173
46068-H1,176
46068-H2,176
46068-H3,175
46068-H4,175
46068-H5,174
46068-H6,174
46068-H7,173
46068-H8,173
46069-A1,144
46069-A2,144
46069-A3,143
46069-A4,143
46069-A5,142
46069-A6,142
46069-A7,141
46069-A8,141
46069-B1,144
46069-B2,144
46069-B3,143
46069-B4,143
46069-B5,142
46069-B6,142
46069-B7,141
46069-B8,141
46069-C1,154
46069-C2,154
46069-C3,153
46069-C4,153
46069-C5,152
46069-C6,152
46069-C7,151
46069-C8,151
46069-D1,154
46069-D2,154
46069-D3,153
46069-D4,153
46069-D5,152
46069-D6,152
46069-D7,151
46069-D8,151
46069-E1,163
46069-E2,163
46069-E3,162
46069-E4,162
46069-E5,161
46069-E6,161
46069-E7,160
46069-E8,160
46069-F1,163
46069-F2,163
46069-F3,162
46069-F4,162
46069-F5,161
46069-F6,161
46069-F7,160
46069-F8,160
46069-G1,172
46069-G2,172
46069-G3,171
46069-G4,171
46069-G5,170
46069-G6,170
46069-G7,169
46069-G8,169
46069-H1,172
46069-H2,172
46069-H3,171
46069-H4,171
46069-H5,170
46069-H6,170
46069-H7,169
46070-A1,140
46070-A2,140
46070-A3,139
46070-B1,140
46070-B2,140
46070-B3,139
46070-C1,150
46070-C2,150
46070-C3,150
46070-D1,150
46070-D2,150
46070-E1,160
46070-F1,160
47067-A7,185
47067-A8,185
47067-B8,185
47068-A1,184
47068-A2,184
47068-A3,183
47068-A4,183
47068-A5,182
47068-A6,182
47068-A7,181
47068-A8,181
47068-B1,184
47068-B2,184
47068-B3,183
47068-B4,183
47068-B5,182
47068-B6,182
47068-B7,181
47068-B8,181
47068-C1,190
47068-C2,190
47068-C3,189
47068-C4,189
47068-C5,188
47069-A1,180
47069-A2,180
47069-A3,179
47069-A4,179
47069-A5,178
47069-A6,178
47069-B1,180
47069-B2,180
47069-B3,179
47069-B4,179
47069-B5,178
47069-C1,187
47069-C2,187
47069-C3,186
47069-C4,186
47069-D1,187
47069-D2,187
47069-D3,186
