County,Abbreviation
Barnstable,BN
Berkshire,BK
Bristol,BR
Dukes,DK
Essex,ES
Franklin,FR
Hampden,HD
Hampshire,HS
Middlesex,MD
Nantucket,NT
Norfolk,NF
Plymouth,PL
Suffolk,SU
Worcester,WR
