County,Abbreviation
Albany,AB
Big Horn,BH
Campbell,CA
Carbon,CR
Converse,CO
Crook,CK
Fremont,FR
Goshen,GO
Hot Springs,HO
Johnson,JO
Laramie,LA
Lincoln,LN
Natrona,NA
Niobrara,NO
Park,PA
Platte,PL
Sheridan,SH
Sublette,SU
Sweetwater,SW
Teton,TE
Uinta,UT
Washakie,WA
Weston,WE
Yellowstone National Park,YE
